url_length,https,dots,hyphen,at,digits,suspicious_words,ip_address,subdomains,path_length,query_length,special_chars,iframe,forms,label
96,1,7,6,2,3,8,1,3,10,54,15,1,1,1
38,1,2,0,0,1,0,0,1,7,6,0,0,0,0
53,1,2,0,0,1,0,0,1,12,3,0,0,1,0
133,1,3,8,1,7,8,0,3,38,24,10,6,5,1
147,1,9,4,1,10,8,1,5,67,18,3,3,3,1
134,0,3,2,0,3,7,0,3,35,30,14,3,2,1
59,1,10,8,0,7,2,0,6,46,7,8,5,3,1
26,1,2,1,0,0,0,0,1,12,5,3,0,1,0
107,0,7,7,2,12,6,0,2,27,33,15,5,7,1
98,0,8,5,2,11,4,1,5,14,13,10,6,6,1
58,1,3,0,0,0,1,0,1,13,7,2,1,2,0
127,0,9,4,2,12,8,1,4,38,36,15,4,2,1
180,0,10,8,0,4,6,0,4,74,14,13,3,2,1
120,1,9,7,1,11,3,1,5,27,24,5,6,2,1
43,1,1,0,0,3,0,0,2,10,10,3,0,2,0
157,1,5,1,0,10,7,0,2,58,55,6,5,1,1
72,1,4,7,0,4,3,1,5,41,8,14,1,8,1
89,1,9,7,0,11,8,0,3,53,33,15,2,1,1
70,1,8,8,2,3,7,0,2,19,16,4,6,7,1
132,0,6,2,2,8,3,0,3,73,59,7,2,5,1
45,1,3,1,0,1,0,0,2,17,6,1,0,0,0
61,1,6,4,2,4,8,0,5,13,31,12,5,3,1
132,0,10,3,2,13,2,1,4,24,46,7,6,5,1
72,0,9,5,0,11,2,1,2,52,50,12,3,5,1
161,1,6,2,1,6,8,0,4,65,53,10,6,6,1
115,0,4,5,1,6,2,0,3,76,20,5,2,6,1
31,1,3,0,0,1,0,0,1,17,0,0,1,1,0
81,1,4,1,1,8,8,1,5,56,57,11,3,4,1
123,1,4,7,0,3,5,1,5,43,47,4,2,6,1
143,1,3,8,2,12,7,1,2,51,56,6,5,6,1
29,1,1,1,0,3,1,0,1,12,3,2,1,2,0
44,1,1,1,0,3,1,0,1,5,3,0,1,1,0
40,1,3,1,0,3,0,0,2,10,2,3,0,0,0
56,1,6,6,0,9,8,1,4,28,52,11,6,5,1
54,1,2,1,0,0,0,0,2,0,2,3,1,2,0
51,1,1,1,0,1,1,0,1,7,4,1,0,1,0
118,0,8,3,0,6,3,0,3,80,58,11,5,8,1
60,1,3,0,0,3,0,0,1,7,0,2,0,2,0
180,0,10,1,0,9,7,0,2,32,13,15,2,2,1
50,1,8,7,0,5,8,0,5,28,44,8,1,2,1
90,0,3,3,2,2,6,0,5,28,49,10,4,8,1
70,0,7,1,0,12,6,0,4,46,17,6,6,2,1
146,0,3,6,2,15,7,0,6,59,55,3,6,6,1
94,0,3,6,2,15,2,0,2,48,52,14,4,1,1
137,0,8,6,1,5,3,1,4,13,34,5,2,4,1
24,1,2,1,0,2,1,0,2,4,9,3,1,1,0
40,1,1,0,0,0,0,0,1,6,3,3,1,1,0
32,1,1,1,0,1,0,0,2,10,2,2,0,2,0
101,0,3,2,1,2,6,0,6,25,58,15,3,7,1
122,0,9,8,2,5,5,0,6,26,10,13,6,1,1
173,1,6,1,2,6,2,1,5,74,26,4,3,4,1
36,1,3,0,0,1,0,0,1,9,10,3,1,2,0
70,1,8,6,1,4,5,0,3,63,34,9,4,2,1
51,1,2,1,0,1,0,0,1,17,7,2,1,0,0
49,1,1,0,0,0,1,0,1,3,5,0,0,1,0
43,1,1,0,0,3,1,0,2,2,10,1,0,2,0
131,0,5,7,2,14,4,1,5,71,59,7,6,4,1
83,1,8,5,0,12,7,1,6,52,28,3,5,2,1
102,1,7,2,0,10,3,1,5,68,44,14,6,7,1
40,1,1,0,0,2,1,0,2,1,8,1,1,2,0
128,1,10,1,0,9,4,1,2,30,55,6,3,4,1
25,1,1,0,0,3,0,0,1,17,2,2,1,0,0
115,0,9,6,1,5,2,0,3,64,32,12,4,3,1
24,1,3,0,0,1,0,0,2,3,5,3,1,0,0
165,1,10,1,2,13,8,0,3,33,12,14,3,6,1
122,1,8,4,0,7,5,0,5,73,44,12,2,1,1
64,0,10,4,1,10,6,0,5,45,27,7,3,3,1
22,1,1,0,0,2,0,0,2,0,8,1,0,2,0
81,1,10,6,0,5,5,1,2,12,52,5,3,1,1
106,0,6,6,0,11,7,0,5,62,20,3,6,2,1
80,1,6,3,0,15,4,1,2,20,18,8,4,3,1
33,1,3,1,0,0,0,0,2,6,0,2,1,1,0
40,1,3,0,0,1,0,0,2,6,1,1,0,0,0
27,1,1,0,0,2,0,0,1,16,7,1,1,2,0
49,1,1,1,0,3,0,0,2,7,5,2,0,2,0
67,1,6,3,1,8,8,0,2,75,52,6,2,5,1
43,1,1,1,0,1,0,0,1,11,9,1,0,2,0
20,1,2,1,0,1,1,0,1,14,10,2,0,0,0
55,1,2,1,0,0,1,0,2,0,0,3,1,1,0
88,1,9,6,1,7,8,1,6,56,41,5,5,3,1
152,0,10,1,0,2,7,1,6,36,48,14,5,7,1
36,1,3,0,0,0,0,0,2,20,3,2,1,1,0
125,0,9,6,1,5,5,0,6,23,52,6,2,8,1
68,1,8,6,2,5,5,1,5,61,20,3,6,4,1
118,0,3,3,1,7,8,1,6,31,46,9,4,1,1
121,0,3,6,0,15,3,1,2,44,44,9,2,8,1
98,0,7,8,1,13,7,1,4,68,38,6,6,7,1
56,0,3,6,1,3,4,1,2,46,49,12,1,2,1
26,1,1,0,0,1,1,0,1,11,9,3,1,1,0
54,1,1,0,0,0,1,0,2,9,6,1,1,1,0
44,1,3,0,0,0,0,0,2,1,7,1,1,0,0
178,1,4,8,1,12,6,0,5,40,46,5,4,1,1
42,1,1,1,0,3,1,0,1,10,10,3,1,0,0
30,1,2,1,0,3,0,0,1,0,5,0,0,0,0
46,1,3,1,0,2,1,0,1,1,1,2,1,1,0
56,1,7,7,1,3,7,0,2,26,44,12,5,6,1
94,0,6,7,1,12,8,0,6,55,33,3,6,6,1
123,1,5,5,2,8,6,0,5,68,60,3,4,7,1
24,1,3,1,0,0,1,0,1,4,7,1,0,2,0
18,1,3,1,0,2,0,0,1,2,5,1,1,0,0
53,1,1,0,0,3,1,0,2,4,9,1,0,2,0
21,1,1,0,0,2,1,0,2,14,6,3,0,1,0
156,0,9,7,1,10,4,0,6,62,47,7,6,4,1
86,1,5,4,2,10,6,1,4,54,32,9,6,1,1
150,1,7,8,0,6,4,0,5,56,45,14,1,4,1
47,1,2,0,0,2,1,0,1,18,7,2,0,0,0
41,1,2,1,0,2,1,0,2,11,10,2,0,2,0
56,1,1,1,0,2,1,0,1,13,8,0,1,1,0
36,1,2,0,0,3,0,0,2,15,8,2,0,0,0
27,1,1,1,0,1,1,0,1,19,6,1,0,2,0
148,1,4,5,2,12,8,1,5,42,50,9,1,6,1
25,1,2,0,0,2,1,0,2,11,8,1,1,2,0
26,1,1,1,0,3,0,0,2,4,8,1,0,2,0
113,0,6,7,2,9,6,0,2,45,30,4,4,6,1
168,1,3,8,0,7,4,0,2,29,44,3,3,1,1
35,1,2,0,0,1,1,0,2,15,3,2,1,2,0
22,1,1,1,0,1,0,0,2,16,6,2,1,0,0
57,1,2,0,0,1,0,0,2,5,10,2,0,1,0
86,0,9,4,0,5,7,1,4,14,55,15,1,7,1
17,1,2,0,0,1,1,0,1,14,6,2,1,2,0
16,1,1,0,0,1,1,0,1,15,10,2,0,0,0
160,1,7,3,1,13,6,1,5,10,16,15,6,5,1
125,1,3,7,1,6,6,1,3,56,12,12,4,6,1
31,1,3,0,0,0,0,0,2,20,1,0,1,1,0
54,1,2,0,0,1,0,0,1,8,10,0,0,0,0
30,1,2,1,0,0,1,0,1,14,7,0,0,0,0
97,0,6,6,0,7,8,1,5,54,9,9,1,1,1
17,1,1,0,0,2,0,0,2,6,10,2,1,2,0
59,0,3,3,1,5,5,1,2,72,49,4,6,1,1
22,1,1,1,0,2,0,0,1,1,5,3,1,0,0
38,1,3,1,0,1,1,0,2,2,10,2,0,1,0
33,1,2,1,0,0,0,0,2,4,9,2,1,2,0
154,0,9,1,0,2,6,0,5,79,23,3,5,2,1
33,1,1,1,0,0,0,0,2,14,1,2,1,2,0
128,1,4,6,2,10,3,1,6,55,52,6,2,2,1
168,1,5,4,2,5,6,0,6,28,50,3,3,7,1
93,0,5,8,1,13,5,0,5,16,25,12,4,8,1
41,1,3,1,0,3,0,0,2,3,10,1,0,0,0
35,1,3,1,0,2,1,0,1,1,3,1,1,2,0
21,1,2,1,0,3,1,0,2,9,1,0,1,0,0
23,1,1,1,0,1,1,0,1,11,7,1,0,0,0
160,1,4,7,1,8,5,1,3,75,5,3,1,3,1
75,0,10,6,0,8,8,0,3,44,17,6,2,6,1
47,1,3,0,0,2,1,0,2,16,10,0,1,1,0
75,0,3,8,2,2,3,1,3,45,60,10,2,1,1
28,1,1,1,0,1,1,0,1,10,9,3,0,1,0
138,1,9,4,2,13,5,0,2,13,34,9,3,4,1
74,0,4,3,0,2,5,0,5,30,16,13,3,3,1
49,1,2,0,0,2,0,0,2,8,8,2,1,2,0
32,1,1,1,0,2,1,0,1,4,8,3,1,2,0
96,1,7,3,2,7,2,0,6,24,32,15,1,8,1
117,0,5,3,0,14,7,1,2,32,18,11,4,7,1
34,1,1,0,0,1,1,0,2,0,1,0,1,1,0
53,1,3,1,0,1,0,0,2,20,7,2,1,0,0
23,1,2,1,0,3,1,0,2,16,3,2,0,1,0
90,0,3,2,1,11,8,1,2,19,35,13,1,4,1
100,0,9,5,1,2,7,0,3,34,48,13,6,4,1
86,1,10,2,1,13,8,1,2,26,24,12,2,3,1
97,1,10,7,0,12,8,1,4,72,25,12,5,1,1
39,1,2,0,0,1,0,0,2,18,5,0,0,1,0
